index,name,min_age,max_age,region,edu,edu_limit,job
229,대학생 직무인턴,0,100,전라북도,석·박사,제한없음,제한없음
230,청년 일자리카페 운영,18,39,전라남도,제한없음,제한없음,미취업자
231,청년날개 사업,18,39,경기도,고교 졸업예정,제한없음,미취업자
231,청년날개 사업,18,39,경기도,고졸,제한없음,미취업자
231,청년날개 사업,18,39,경기도,대학 졸업예정,제한없음,미취업자
231,청년날개 사업,18,39,경기도,대졸,제한없음,미취업자
232,충남 희망이음 프로젝트,18,39,충청남도,제한없음,제한없음,미취업자
233,항공정비인력양성채용,0,100,전국,제한없음,제한없음,미취업자
234,이노베이션 아카데미,0,100,전국,제한없음,제한없음,미취업자
235,대구청년학교 딴길2,19,39,대구광역시,제한없음,제한없음,제한없음
236,찾아가는 청년층 직업지도 프로그램,18,34,인천광역시,제한없음,제한없음,제한없음
237,광주시 대학일자리센터 운영지원,0,100,광주광역시,제한없음,제한없음,미취업자
238,단기집단상담프로그램,0,100,전국,제한없음,제한없음,미취업자
239,대학일자리 센터 운영 지원,18,39,인천광역시,제한없음,제한없음,미취업자
240,청년 중장기복무 제대군인 전직서비스 지원,20,39,전국,제한없음,제한없음,제한없음
241,스마트농업 전문가 육성,0,100,전국,대학 졸업예정,제한없음,제한없음
241,스마트농업 전문가 육성,0,100,전국,대졸,제한없음,제한없음
242,스마트공장 구축기업 청년체험단 운영,0,34,전국,제한없음,제한없음,미취업자
243,1인 미디어 콘텐츠 산업 육성사업,19,39,경상북도,제한없음,제한없음,제한없음
244,청년예술가 육성 지원,0,35,대구광역시,제한없음,제한없음,제한없음
245,기업대학,0,100,전국,제한없음,제한없음,제한없음
246,청년 프로그래밍 교육사업,19,34,경상남도,제한없음,제한없음,제한없음
247,중소기업 청년인턴 사업,19,39,울산광역시,고교 졸업예정,제한없음,미취업자
247,중소기업 청년인턴 사업,19,39,울산광역시,고졸,제한없음,미취업자
247,중소기업 청년인턴 사업,19,39,울산광역시,대학 졸업예정,제한없음,미취업자
247,중소기업 청년인턴 사업,19,39,울산광역시,대졸,제한없음,미취업자
248,(서울 구로구)지역주도형 청년일자리 사업(지주형),18,39,서울특별시,제한없음,제한없음,미취업자
249,문화예술교육사 인턴십 지원,0,100,전라북도,제한없음,제한없음,제한없음
251,"청년 직무역량 교육(청년 온라인 취업특강자 집중 컨설팅, 내일(꿈)을 job아, 사무 및 회계실무자 양성과정, 현직자 멘토링 취업프로그램, 특성화고 맞춤 취업지원사업, NCS채용 대비 취업특강)",0,100,경기도,제한없음,제한없음,제한없음
252,청년일자리 공공근로 사업,18,39,부산광역시,제한없음,제한없음,미취업자
253,사회적경제조직 청년일자리사업,19,39,경기도,제한없음,제한없음,미취업자
254,무역 IT&패션의류 무역마스터 전문가 양성 사업,18,34,서울특별시,대학 졸업예정,제한없음,미취업자
254,무역 IT&패션의류 무역마스터 전문가 양성 사업,18,34,서울특별시,대졸,제한없음,미취업자
255,청년 꿈이룸프로젝트,18,39,경기도,제한없음,제한없음,미취업자
256,연수구 1인 방송 인큐베이션 센터 운영,19,39,인천광역시,제한없음,제한없음,미취업자
257,"월드프렌즈(World Friends Korea, WFK) 해외봉사단 - 청년 중기봉사단",19,39,전국,대학생,제한없음,제한없음
257,"월드프렌즈(World Friends Korea, WFK) 해외봉사단 - 청년 중기봉사단",19,39,전국,대학 졸업예정,제한없음,제한없음
257,"월드프렌즈(World Friends Korea, WFK) 해외봉사단 - 청년 중기봉사단",19,39,전국,대졸,제한없음,제한없음
257,"월드프렌즈(World Friends Korea, WFK) 해외봉사단 - 청년 중기봉사단",19,39,전국,대학원생,제한없음,제한없음
258,청년드림 마포캠프,18,39,서울특별시,제한없음,제한없음,미취업자
259,청년 실무형 지역인재 양성사업,19,39,인천광역시,제한없음,제한없음,미취업자
260,사회적경제기업 청년지원사업,19,39,울산광역시,제한없음,제한없음,미취업자
261,청년 응원기업 상생사업,19,39,대구광역시,제한없음,제한없음,미취업자
262,남구 일자리 정보센터 운영,0,100,부산광역시,제한없음,제한없음,미취업자
263,우량기업 인턴십 프로그램,19,34,제주도,대학 재학,제한없음,제한없음
263,우량기업 인턴십 프로그램,19,34,제주도,대학 졸업예정,제한없음,제한없음
263,우량기업 인턴십 프로그램,19,34,제주도,대졸,제한없음,제한없음
